strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg,delta_joint_vs_external_storage_only_2023_usd_per_kg,joint_saving_vs_external_storage_only_percent
Joint design,800.0,24.0,100.0,500000000.0,1369863.01369863,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,686572.12502655,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,68657212.502655,0.18397031651327486,0.008101605864454974,0.063213201801047,0.013731442500531,0.26901656667930784,134508283.3396539,0.0,Transport assets retained,True,0.013665817773441613,0.0,0.013665817773441613,4.834336529280926
External storage only,800.0,36.0,100.0,500000000.0,2054794.520547945,30.0,0,800.0,,,0.0,0.0,0.0,2054794.520547945,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,205479452.0547945,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0410958904109589,0.29638101458973576,148190507.29486787,0.0,Transport assets retained,False,0.013665817773441613,0.0,0.013665817773441613,4.6108951318486
Linepack without redesign,800.0,36.0,100.0,500000000.0,2054794.520547945,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,1371503.6318758652,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,137150363.18758652,0.18397031651327486,0.008101605864454974,0.063213201801047,0.027430072637517303,0.28271519681629415,141357598.40814707,0.0,Transport assets retained,True,0.013665817773441613,0.0,0.013665817773441613,4.6108951318486
Joint design,800.0,36.0,100.0,500000000.0,2054794.520547945,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,1371503.6318758652,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,137150363.18758652,0.18397031651327486,0.008101605864454974,0.063213201801047,0.027430072637517303,0.28271519681629415,141357598.40814707,0.0,Transport assets retained,True,0.013665817773441613,0.0,0.013665817773441613,4.6108951318486
External storage only,800.0,48.0,100.0,500000000.0,2739726.02739726,30.0,0,800.0,,,0.0,0.0,0.0,2739726.02739726,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,273972602.739726,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0547945205479452,0.310079644726722,155039822.363361,0.0,Transport assets retained,False,0.013665817773441558,0.0,0.013665817773441558,4.407196023939416
Linepack without redesign,800.0,48.0,100.0,500000000.0,2739726.02739726,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,2056435.1387251802,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,205643513.872518,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0411287027745036,0.29641382695328045,148206913.47664022,0.0,Transport assets retained,True,0.013665817773441558,0.0,0.013665817773441558,4.407196023939416
Joint design,800.0,48.0,100.0,500000000.0,2739726.02739726,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,2056435.1387251802,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,205643513.872518,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0411287027745036,0.29641382695328045,148206913.47664022,0.0,Transport assets retained,True,0.013665817773441558,0.0,0.013665817773441558,4.407196023939416
External storage only,800.0,72.0,100.0,500000000.0,4109589.04109589,30.0,0,800.0,,,0.0,0.0,0.0,4109589.04109589,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,410958904.109589,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0821917808219178,0.33747690500069466,168738452.50034732,0.0,Transport assets retained,False,0.013665817773441613,0.0,0.013665817773441613,4.049408291632129
Linepack without redesign,800.0,72.0,100.0,500000000.0,4109589.04109589,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,3426298.15242381,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,342629815.24238104,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0685259630484762,0.32381108722725305,161905543.6136265,0.0,Transport assets retained,True,0.013665817773441613,0.0,0.013665817773441613,4.049408291632129
Joint design,800.0,72.0,100.0,500000000.0,4109589.04109589,30.0,0,800.0,21.01325,51.93858082816981,23.411316250106665,683290.88867208,683290.88867208,3426298.15242381,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,876049126.2536896,28729098.81012402,342629815.24238104,0.18397031651327486,0.008101605864454974,0.063213201801047,0.0685259630484762,0.32381108722725305,161905543.6136265,0.0,Transport assets retained,True,0.013665817773441613,0.0,0.013665817773441613,4.049408291632129
