strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg,delta_joint_vs_external_storage_only_2023_usd_per_kg,joint_saving_vs_external_storage_only_percent
Linepack without redesign,1200.0,21.0,600.0,500000000.0,1198630.1369863013,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,674504.2655452462,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,404702559.3271477,0.26801830995467557,0.008101605864454974,0.063213201801047,0.08094051186542955,0.42027362948560704,210136814.7428035,0.0,Transport assets retained,True,0.06289510457292663,0.039710217872622244,0.10260532244554887,21.235919299595803
Joint design,1200.0,21.0,600.0,500000000.0,1198630.1369863013,30.0,1,600.0,23.980596741976793,47.614216860751576,27.378782766390678,1198630.1372816882,1198630.1369863013,0.0,2,19817.671124984532,1,11323.12134011424,32389034.38100766,474423203.46828735,1276277666.450836,46858497.2250329,0.0,0.26801830995467557,0.01321409621745928,0.09933100544084988,0.0,0.3805634116129848,190281705.8064924,0.0,Station-count change,True,0.06289510457292663,0.039710217872622244,0.10260532244554887,21.235919299595803
External storage only,1200.0,24.0,600.0,500000000.0,1369863.01369863,30.0,0,1200.0,,,0.0,0.0,0.0,1369863.01369863,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,821917808.219178,0.26801830995467557,0.008101605864454974,0.063213201801047,0.1643835616438356,0.5037166792640131,251858339.63200656,0.0,Transport assets retained,False,0.06289510457292657,0.04591729524681898,0.10881239981974555,21.60190525728327
Linepack without redesign,1200.0,24.0,600.0,500000000.0,1369863.01369863,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,845737.142257575,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,507442285.354545,0.26801830995467557,0.008101605864454974,0.063213201801047,0.101488457070909,0.4408215746910865,220410787.34554327,0.0,Transport assets retained,True,0.06289510457292657,0.04591729524681898,0.10881239981974555,21.60190525728327
Joint design,1200.0,24.0,600.0,500000000.0,1369863.01369863,30.0,1,600.0,21.01325,46.19092229782678,29.302243225458604,1282838.3248326215,1282838.3248326215,87024.68886600854,2,19817.671124984532,2,12418.64427463331,33377985.32282856,491113257.21852577,1276277666.450836,48289251.67167309,52214813.31960513,0.26801830995467557,0.013617568971411814,0.1028254378542591,0.010442962663921026,0.39490427944426754,197452139.72213376,0.0,Station-count change,True,0.06289510457292657,0.04591729524681898,0.10881239981974555,21.60190525728327
External storage only,1200.0,27.0,600.0,500000000.0,1541095.8904109588,30.0,0,1200.0,,,0.0,0.0,0.0,1541095.8904109588,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,924657534.2465752,0.26801830995467557,0.008101605864454974,0.063213201801047,0.18493150684931506,0.5242646244694925,262132312.23474628,0.0,Transport assets retained,False,0.06289510457292652,0.04930455224619801,0.11219965681912453,21.4013403884842
Linepack without redesign,1200.0,27.0,600.0,500000000.0,1541095.8904109588,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,1016970.0189699037,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,610182011.3819423,0.26801830995467557,0.008101605864454974,0.063213201801047,0.12203640227638847,0.461369519896566,230684759.948283,0.0,Transport assets retained,True,0.06289510457292652,0.04930455224619801,0.11219965681912453,21.4013403884842
Joint design,1200.0,27.0,600.0,500000000.0,1541095.8904109588,30.0,3,300.0,25.639798833209007,38.773980938099605,35.20129211947594,1541095.8904080805,1541095.8904080805,2.8782524168491364e-06,2,19817.671124984532,1,6575.567163089743,43900189.09220661,602449920.1754138,1276277666.450836,63512140.08287408,0.0017269514501094818,0.26801830995467557,0.017910423503370493,0.1261362341919765,3.4539029002189635e-13,0.412064967650368,206032483.825184,0.0,Station-count change,True,0.06289510457292652,0.04930455224619801,0.11219965681912453,21.4013403884842
External storage only,1200.0,30.0,600.0,500000000.0,1712328.7671232875,30.0,0,1200.0,,,0.0,0.0,0.0,1712328.7671232875,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1027397260.2739725,0.26801830995467557,0.008101605864454974,0.063213201801047,0.2054794520547945,0.544812569674972,272406284.837486,0.0,Transport assets retained,False,0.06289510457292663,0.06504400154451584,0.12793910611744247,23.483141402880854
Linepack without redesign,1200.0,30.0,600.0,500000000.0,1712328.7671232875,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,1188202.8956822325,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,712921737.4093394,0.26801830995467557,0.008101605864454974,0.063213201801047,0.14258434748186788,0.4819174651020454,240958732.5510227,0.0,Transport assets retained,True,0.06289510457292663,0.06504400154451584,0.12793910611744247,23.483141402880854
Joint design,1200.0,30.0,600.0,500000000.0,1712328.7671232875,36.0,0,1200.0,29.228044758824325,46.8805174489005,27.1614908419974,1712328.7676917864,1712328.7671232875,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1645517409.009655,28729098.81012402,0.0,0.34555865589202756,0.008101605864454974,0.063213201801047,0.0,0.4168734635575296,208436731.77876478,0.0,Diameter change,True,0.06289510457292663,0.06504400154451584,0.12793910611744247,23.483141402880854
External storage only,1200.0,33.0,600.0,500000000.0,1883561.6438356163,30.0,0,1200.0,,,0.0,0.0,0.0,1883561.6438356163,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1130136986.3013697,0.26801830995467557,0.008101605864454974,0.063213201801047,0.22602739726027393,0.5653605148804515,282680257.4402257,0.0,Transport assets retained,False,0.06289510457292657,0.08559194670259568,0.14848705127552225,26.26413542638729
Linepack without redesign,1200.0,33.0,600.0,500000000.0,1883561.6438356163,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,1359435.7723945612,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,815661463.4367367,0.26801830995467557,0.008101605864454974,0.063213201801047,0.16313229268734736,0.5024654103075249,251232705.15376243,0.0,Transport assets retained,True,0.06289510457292657,0.08559194670259568,0.14848705127552225,26.26413542638729
Joint design,1200.0,33.0,600.0,500000000.0,1883561.6438356163,36.0,0,1200.0,25.600845136794746,44.70914433950814,29.877639910012093,1883561.643440619,1883561.643440619,0.0003949971869587898,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1645517409.009655,28729098.81012402,0.2369983121752739,0.34555865589202756,0.008101605864454974,0.063213201801047,4.739966243505478e-11,0.4168734636049292,208436731.8024646,0.0,Diameter change,True,0.06289510457292657,0.08559194670259568,0.14848705127552225,26.26413542638729
External storage only,1200.0,36.0,600.0,500000000.0,2054794.520547945,30.0,0,1200.0,,,0.0,0.0,0.0,2054794.520547945,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1232876712.328767,0.26801830995467557,0.008101605864454974,0.063213201801047,0.24657534246575344,0.5859084600859309,292954230.0429655,0.0,Transport assets retained,False,0.06289510457292657,0.10613989195547474,0.16903499652840132,28.850069258875386
Linepack without redesign,1200.0,36.0,600.0,500000000.0,2054794.520547945,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,1530668.64910689,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,918401189.464134,0.26801830995467557,0.008101605864454974,0.063213201801047,0.1836802378928268,0.5230133555130043,261506677.75650215,0.0,Transport assets retained,True,0.06289510457292657,0.10613989195547474,0.16903499652840132,28.850069258875386
Joint design,1200.0,36.0,600.0,500000000.0,2054794.520547945,36.0,0,1200.0,21.736547288325347,42.61433800812151,32.59378900472751,2054794.5208727326,2054794.520547945,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1645517409.009655,28729098.81012402,0.0,0.34555865589202756,0.008101605864454974,0.063213201801047,0.0,0.4168734635575296,208436731.77876478,0.0,Diameter change,True,0.06289510457292657,0.10613989195547474,0.16903499652840132,28.850069258875386
External storage only,1200.0,39.0,600.0,500000000.0,2226027.397260274,30.0,0,1200.0,,,0.0,0.0,0.0,2226027.397260274,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1335616438.3561642,0.26801830995467557,0.008101605864454974,0.063213201801047,0.26712328767123283,0.6064564052914103,303228202.64570516,0.0,Transport assets retained,False,0.06289510457292646,0.10980588662696672,0.17270099119989318,28.47706606658859
Linepack without redesign,1200.0,39.0,600.0,500000000.0,2226027.397260274,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,1701901.5258192187,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1021140915.4915313,0.26801830995467557,0.008101605864454974,0.063213201801047,0.20422818309830626,0.5435613007184839,271780650.3592419,0.0,Transport assets retained,True,0.06289510457292646,0.10980588662696672,0.17270099119989318,28.47706606658859
Joint design,1200.0,39.0,600.0,500000000.0,2226027.397260274,36.0,0,1200.0,21.01325,42.24998214692316,33.07838188547123,2085344.4761437108,2085344.4761437108,140682.92111656303,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1645517409.009655,28729098.81012402,84409752.66993782,0.34555865589202756,0.008101605864454974,0.063213201801047,0.016881950533987562,0.43375541409151713,216877707.04575858,0.0,Diameter change,True,0.06289510457292646,0.10980588662696672,0.17270099119989318,28.47706606658859
External storage only,1200.0,42.0,600.0,500000000.0,2397260.2739726026,30.0,0,1200.0,,,0.0,0.0,0.0,2397260.2739726026,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1438356164.3835616,0.26801830995467557,0.008101605864454974,0.063213201801047,0.2876712328767123,0.6270043504968899,313502175.2484449,0.0,Transport assets retained,False,0.06289510457292669,0.12541170171191995,0.18830680628484664,30.032775073349466
Linepack without redesign,1200.0,42.0,600.0,500000000.0,2397260.2739726026,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,1873134.4025315475,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1123880641.5189285,0.26801830995467557,0.008101605864454974,0.063213201801047,0.2247761283037857,0.5641092459239632,282054622.9619816,0.0,Transport assets retained,True,0.06289510457292669,0.12541170171191995,0.18830680628484664,30.032775073349466
Joint design,1200.0,42.0,600.0,500000000.0,2397260.2739726026,36.0,1,600.0,24.58285998026777,35.72211027831172,38.02608715041278,2397260.2729791286,2397260.2729791286,0.0009934739209711552,2,19817.671124984532,1,5903.862714358065,27192237.784709014,391861976.40459335,1645517409.009655,39340086.02381745,0.5960843525826931,0.34555865589202756,0.011093904258716522,0.08204498394208226,1.1921687051653861e-10,0.4386975442120432,219348772.1060216,0.0,Diameter change,True,0.06289510457292669,0.12541170171191995,0.18830680628484664,30.032775073349466
External storage only,1200.0,45.0,600.0,500000000.0,2568493.1506849313,30.0,0,1200.0,,,0.0,0.0,0.0,2568493.1506849313,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1541095890.4109588,0.26801830995467557,0.008101605864454974,0.063213201801047,0.3082191780821918,0.6475522957023692,323776147.8511846,0.0,Transport assets retained,False,0.06289510457292646,0.14092963790029778,0.20382474247322424,31.47618251467169
Linepack without redesign,1200.0,45.0,600.0,500000000.0,2568493.1506849313,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,2044367.2792438762,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,1226620367.5463257,0.26801830995467557,0.008101605864454974,0.063213201801047,0.24532407350926516,0.5846571911294427,292328595.56472135,0.0,Transport assets retained,True,0.06289510457292646,0.14092963790029778,0.20382474247322424,31.47618251467169
