annual_delivered_kg,length_km,diameter_in,stations,segment_length_km,pack_outlet_bar_a,pack_average_bar_a,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,pipeline_capex_2018_usd,compressor_capex_2018_usd,full_year_energy_kwh,transport_lcot_2023_usd_per_kg,transport_selected
500000000.0,400.0,24.0,4,80.0,65.71719422446748,68.39941128755679,2,19817.671124984532,1,1207.8241336985004,264434361.0508174,27812342.228752412,375521663.8254956,0.17030987893274457,False
500000000.0,400.0,24.0,5,66.66666666666667,66.62910995358861,68.84445367920314,2,19817.671124984532,1,992.6696420448001,264434361.0508174,28319331.60623814,377533442.3937857,0.17093793114155534,False
500000000.0,400.0,24.0,6,57.142857142857146,67.27291052635303,69.15994160264435,2,19817.671124984532,1,842.9300956989155,264434361.0508174,28733892.709696177,378969051.9735644,0.17140764067278239,False
500000000.0,400.0,24.0,7,50.0,67.75174638927159,69.39527447837632,2,19817.671124984532,1,732.6809994655229,264434361.0508174,29085586.68603197,380053561.638418,0.17177819109505493,False
500000000.0,400.0,30.0,0,400.0,62.30820786530226,66.75545956813944,2,19817.671124984532,0,0.0,318735622.3601656,19857823.53684561,301917911.39976436,0.16815156855932403,False
500000000.0,400.0,30.0,1,200.0,66.80267375991852,68.92940225708179,2,19817.671124984532,1,952.1279911033823,318735622.3601656,21493068.352582373,316423374.3598785,0.17185575659248395,False
500000000.0,400.0,30.0,2,133.33333333333334,68.23507435942973,69.63340018422377,2,19817.671124984532,1,622.3391563837284,318735622.3601656,22163100.854207464,320880314.91253465,0.1730622760438082,False
500000000.0,400.0,30.0,3,100.0,68.94011494419127,69.98180071149544,2,19817.671124984532,1,463.0057114457637,318735622.3601656,22569088.087835632,323079285.4811464,0.17368831413323021,False
500000000.0,400.0,30.0,4,80.0,69.35969935003426,70.18972106230738,2,19817.671124984532,1,369.04006021009855,318735622.3601656,22857564.99218278,324406891.76456755,0.1740839708807367,False
500000000.0,400.0,30.0,5,66.66666666666667,69.63801780780167,70.32787498286129,2,19817.671124984532,1,307.0295898099034,318735622.3601656,23080981.684006788,325305556.6757188,0.1743632759499181,False
500000000.0,400.0,30.0,6,57.142857142857146,69.83613761693533,70.42633337725984,2,19817.671124984532,1,263.02454436330606,318735622.3601656,23263505.25297699,325960641.9245215,0.174574898622895,False
500000000.0,400.0,30.0,7,50.0,69.9843594100882,70.50005604522664,2,19817.671124984532,1,230.1661913127627,318735622.3601656,23418094.637808513,326463634.6194141,0.17474328074713463,False
500000000.0,400.0,36.0,0,400.0,67.69142233400811,69.36559520009548,2,19817.671124984532,0,0.0,410029117.8509429,19857823.53684561,301917911.39976436,0.1958879299002348,False
500000000.0,400.0,36.0,1,200.0,69.37222186568465,70.19593305063248,2,19817.671124984532,1,366.2447824898623,410029117.8509429,20603083.660672005,307497571.0425665,0.19736020686674655,False
500000000.0,400.0,36.0,2,133.33333333333334,69.92351061153907,70.4697846376714,2,19817.671124984532,1,243.64945142351152,410029117.8509429,20923806.92763417,309341804.25009465,0.19787718679227287,False
500000000.0,400.0,36.0,3,100.0,70.19753144571494,70.60617606983158,2,19817.671124984532,1,182.9823088673873,410029117.8509429,21121275.142652452,310280998.4902599,0.1981543911001855,False
500000000.0,400.0,36.0,4,80.0,70.36143170779152,70.68784172986696,2,19817.671124984532,1,146.73536809011964,410029117.8509429,21262708.417754527,310859837.13520396,0.1983332858170007,False
500000000.0,400.0,36.0,5,66.66666666666667,70.4704867721393,70.74221541290572,2,19817.671124984532,1,122.61256015277591,410029117.8509429,21372765.093755245,311257789.8948802,0.1984615070250613,False
500000000.0,400.0,36.0,6,57.142857142857146,70.54828003469484,70.78101955574202,2,19817.671124984532,1,105.39069643937965,410029117.8509429,21462960.111509874,311551537.49516225,0.1985598074046564,False
500000000.0,400.0,36.0,7,50.0,70.60656873349193,70.8101040071725,2,19817.671124984532,1,92.47214205898408,410029117.8509429,21539521.07958187,311779462.27116764,0.19863876389095364,False
500000000.0,400.0,42.0,0,400.0,69.50491103205941,70.26177896490564,2,19817.671124984532,0,0.0,446089791.40503424,19857823.53684561,301917911.39976436,0.20684371449930236,False
500000000.0,400.0,42.0,1,200.0,70.26312807275589,70.63885284504508,2,19817.671124984532,1,168.47425983026199,446089791.40503424,20251309.93118841,304484580.1234393,0.20754163824212696,False
500000000.0,400.0,42.0,2,133.33333333333334,70.51405535706928,70.76394613814955,2,19817.671124984532,1,112.96951555802083,446089791.40503424,20424319.092310302,305360043.4216366,0.20779552024741002,False
500000000.0,400.0,42.0,3,100.0,70.63918474236165,70.82638200515122,2,19817.671124984532,1,85.2354634088154,446089791.40503424,20531827.33365431,305813542.66651857,0.2079343316306384,False
500000000.0,400.0,42.0,4,80.0,70.71415609313951,70.86380824518868,2,19817.671124984532,1,68.56981901799908,446089791.40503424,20609247.87256293,306096496.54479164,0.20802516036649804,False
500000000.0,400.0,42.0,5,66.66666666666667,70.76409286658853,70.88874441072392,2,19817.671124984532,1,57.434599525403826,446089791.40503424,20669711.602697045,306292929.58969945,0.20809095600132796,False
500000000.0,400.0,42.0,6,57.142857142857146,70.79974042622865,70.9065487887628,2,19817.671124984532,1,49.46117432883644,446089791.40503424,20719391.63206961,306439092.8305881,0.20814182699906236,False
500000000.0,400.0,42.0,7,50.0,70.82646432170675,70.91989815652744,2,19817.671124984532,1,43.46593828436909,446089791.40503424,20761642.628176507,306553270.24428177,0.20818297015431958,False
500000000.0,800.0,16.0,12,61.53846153846154,23.88656270971025,51.350378848849665,2,19817.671124984532,2,17615.430801932867,388122087.5431552,236146771.9820914,3522325017.311387,0.9517374789881202,False
500000000.0,800.0,16.0,13,57.142857142857146,29.833183933650684,53.2258244811783,2,19817.671124984532,2,13866.81369512494,388122087.5431552,212310981.48995656,3048270508.966422,0.8427591290074025,False
500000000.0,800.0,16.0,14,53.333333333333336,34.15957236874116,54.73873140734423,2,19817.671124984532,1,12270.043133992038,388122087.5431552,207275182.60136873,2918958067.8393884,0.8136301973473898,False
500000000.0,800.0,16.0,15,50.0,37.53833660555521,55.99628071004968,2,19817.671124984532,1,10567.008891227782,388122087.5431552,197439318.83559138,2716709160.6299047,0.7672720679428515,False
500000000.0,800.0,18.0,6,114.28571428571429,22.70732884804054,51.00996862116297,2,19817.671124984532,2,18481.708205106755,435352654.0605184,132357818.9654465,1991306751.8526533,0.6031903896702805,False
500000000.0,800.0,18.0,7,100.0,32.88662562397874,54.281733170389735,2,19817.671124984532,2,12251.005528947002,435352654.0605184,113446900.14907348,1608407753.199817,0.5153067164864372,False
500000000.0,800.0,18.0,8,88.88888888888889,39.00872101212523,56.562629943249355,2,19817.671124984532,1,9884.322239076968,435352654.0605184,109505632.17361552,1506601915.7728322,0.49238344887214996,False
500000000.0,800.0,18.0,9,80.0,43.287416775061644,58.271239400455926,2,19817.671124984532,1,8066.449983145484,435352654.0605184,105186437.31477842,1407933418.6540077,0.46996286611940274,False
500000000.0,800.0,18.0,10,72.72727272727273,46.496222902453816,59.60727001420296,2,19817.671124984532,1,6843.341709270861,435352654.0605184,102673773.07033035,1344486143.9773772,0.4556536557469746,False
500000000.0,800.0,18.0,11,66.66666666666667,49.01000566355803,60.68391804566651,2,19817.671124984532,1,5955.901381975876,435352654.0605184,101120827.41499972,1300023402.1253214,0.445710824324072,False
500000000.0,800.0,18.0,12,61.53846153846154,51.040443645035346,61.57157018944972,2,19817.671124984532,1,5279.199053252474,435352654.0605184,100136337.83610031,1267047310.4917645,0.4384048965627339,False
500000000.0,800.0,18.0,13,57.142857142857146,52.71861369087561,62.316763867332206,2,19817.671124984532,1,4744.52145615062,435352654.0605184,99513638.12718552,1241580699.9674733,0.43281884822776784,False
500000000.0,800.0,18.0,14,53.333333333333336,54.13096026513932,62.95168282948951,2,19817.671124984532,1,4310.567403859753,435352654.0605184,99133230.94263275,1221305713.8508253,0.4284186320881125,False
500000000.0,800.0,18.0,15,50.0,55.3372018649942,63.499375261478235,2,19817.671124984532,1,3950.8610072025726,435352654.0605184,98921334.13936685,1204775539.8283174,0.42487122426144575,False
500000000.0,800.0,20.0,4,160.0,36.819240933003215,55.72341608511151,2,19817.671124984532,1,10913.082687250235,422243674.7971037,68484841.24392746,966951680.7236745,0.3586773260843689,False
500000000.0,800.0,20.0,5,133.33333333333334,44.38686778386747,58.7239807670214,2,19817.671124984532,1,7635.078268198962,422243674.7971037,65167396.83998887,883511699.4817028,0.33985386512666577,False
500000000.0,800.0,20.0,6,114.28571428571429,49.08308679537716,60.71559377608959,2,19817.671124984532,1,5930.9478666472905,422243674.7971037,64030294.87874167,844058119.8710368,0.3311294689058089,False
500000000.0,800.0,20.0,7,100.0,52.32939845476464,62.14302685543749,2,19817.671124984532,1,4866.638495561618,422243674.7971037,63655375.21829932,820913168.0047008,0.3261306006739551,False
500000000.0,800.0,20.0,8,88.88888888888889,54.721323506434445,63.219121656258885,2,19817.671124984532,1,4133.2959658433565,422243674.7971037,63620082.45409204,805676835.3759426,0.3229261382136464,False
500000000.0,800.0,20.0,9,80.0,56.56208172638733,64.06049324767078,2,19817.671124984532,1,3595.365112177299,422243674.7971037,63756052.20889036,794889364.3459526,0.3207230152424821,False
500000000.0,800.0,20.0,10,72.72727272727273,58.02473811604189,64.73689040960798,2,19817.671124984532,1,3183.1040398236164,422243674.7971037,63984445.33042549,786856892.0755013,0.31913441921734703,False
500000000.0,800.0,20.0,11,66.66666666666667,59.21602699955913,65.29275317277354,2,19817.671124984532,1,2856.6942983768404,422243674.7971037,64264319.37832173,780650194.167751,0.3179490927102322,False
500000000.0,800.0,20.0,12,61.53846153846154,60.205632191753196,65.75779957490305,2,19817.671124984532,1,2591.6483594193533,422243674.7971037,64572844.37474896,775716303.6470034,0.3170419456503261,False
500000000.0,800.0,20.0,13,57.142857142857146,61.041097159721126,66.15268229957678,2,19817.671124984532,1,2372.038651530497,422243674.7971037,64896629.74883095,771705322.9411435,0.31633425613864063,False
500000000.0,800.0,20.0,14,53.333333333333336,61.75602495305631,66.49221283686666,2,19817.671124984532,1,2187.0396234252808,422243674.7971037,65227533.302654184,768384936.4725928,0.3157740619051298,False
500000000.0,800.0,20.0,15,50.0,62.37486520306086,66.7872964079343,2,19817.671124984532,1,2029.0274653361262,422243674.7971037,65560480.36612704,765594796.521794,0.3153257202365122,False
500000000.0,800.0,24.0,1,400.0,37.71235051587087,56.062721744059566,2,19817.671124984532,1,10484.498343180156,503335499.66757095,31620504.453434683,461646964.41934377,0.2624775970240223,False
500000000.0,800.0,24.0,2,266.6666666666667,51.27482955741641,61.675033536751016,2,19817.671124984532,1,5203.227575117971,503335499.66757095,33079004.837156642,460457993.34075016,0.26282369939049505,False
500000000.0,800.0,24.0,3,200.0,56.85553208349389,64.195649723417,2,19817.671124984532,1,3511.6063726296784,503335499.66757095,34209600.2273526,462413590.48273474,0.263694407900437,False
500000000.0,800.0,24.0,4,160.0,59.95512953793247,65.63980242980467,2,19817.671124984532,1,2658.2294530725735,503335499.66757095,35077070.48385729,463908102.76613474,0.2643612281448293,False
500000000.0,800.0,24.0,5,133.33333333333334,61.9354091845069,66.57763663119727,2,19817.671124984532,1,2141.0358235523518,503335499.66757095,35780426.267954275,465008988.04601306,0.2648786783442498,False
500000000.0,800.0,24.0,6,114.28571428571429,63.311983903609445,67.2362063757273,2,19817.671124984532,1,1793.3967425670464,503335499.66757095,36373864.058800966,465849968.42467564,0.26529686729220625,False
500000000.0,800.0,24.0,7,100.0,64.32508532469934,67.72425373806823,2,19817.671124984532,1,1543.4570579563533,503335499.66757095,36888844.278539784,466517540.60651845,0.2656467402300232,False
500000000.0,800.0,24.0,8,88.88888888888889,65.10215433523713,68.10048577971668,2,19817.671124984532,1,1355.0173111306717,503335499.66757095,37345032.12973175,467065064.72852516,0.26594749230448084,False
500000000.0,800.0,24.0,9,80.0,65.71719422446748,68.39941128755679,2,19817.671124984532,1,1207.8241336985004,503335499.66757095,37755490.593635924,467526354.3576596,0.26621153257708696,False
500000000.0,800.0,24.0,10,72.72727272727273,66.21615968857142,68.64265326961255,2,19817.671124984532,1,1089.6494968567065,503335499.66757095,38129326.860238895,467923643.44262964,0.2664472317738775,False
500000000.0,800.0,24.0,11,66.66666666666667,66.62910995358861,68.84445367920314,2,19817.671124984532,1,992.6696420448001,503335499.66757095,38473141.28950918,468272079.5866112,0.2666604541995971,False
500000000.0,800.0,24.0,12,61.53846153846154,66.97654078053766,69.01457682374095,2,19817.671124984532,1,911.644138181813,503335499.66757095,38791870.97821022,468582314.5400638,0.26685544427360236,False
500000000.0,800.0,24.0,13,57.142857142857146,67.27291052635303,69.15994160264435,2,19817.671124984532,1,842.9300956989155,503335499.66757095,39089306.74468851,468862049.30966437,0.2670353609523796,False
500000000.0,800.0,24.0,14,53.333333333333336,67.52871218732385,69.28558798433022,2,19817.671124984532,1,783.9160893276843,503335499.66757095,39368423.89853964,469116988.26088995,0.26720261243964477,False
