annual_delivery_mt_per_year,length_km,buffer_hours,storage_cost_2023_usd_per_kg,transport_diameter_in,transport_stations,joint_design_diameter_in,joint_design_stations,joint_design_infrastructure_response,external_storage_only_lcot_2023_usd_per_kg,linepack_without_redesign_lcot_2023_usd_per_kg,joint_design_lcot_2023_usd_per_kg,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg
0.25,800.0,72.0,200.0,20.0,1,24.0,0,Diameter change,0.5131422436896851,0.5122210322806772,0.501504111752114,0.000921211409007916,0.010716920528563212
0.25,1200.0,0.0,200.0,20.0,1,20.0,1,Transport assets retained,0.4848022939756548,0.4848022939756548,0.4848022939756548,0.0,0.0
0.25,1200.0,6.0,200.0,20.0,1,20.0,1,Compressor resize,0.4985009241126411,0.49724539220381325,0.4969645561815672,0.0012555319088278227,0.00028083602224604487
0.25,1200.0,12.0,200.0,20.0,1,20.0,1,Compressor resize,0.5121995542496274,0.5109440223407996,0.5106631863185535,0.0012555319088277672,0.0002808360222461559
0.25,1200.0,24.0,200.0,20.0,1,24.0,0,Diameter change,0.5395968145236,0.5383412826147722,0.5322156804928572,0.0012555319088277672,0.006125602121915041
0.25,1200.0,36.0,200.0,20.0,1,24.0,0,Diameter change,0.5669940747975726,0.5657385428887448,0.5596129407668298,0.0012555319088277672,0.006125602121915041
0.25,1200.0,48.0,200.0,20.0,1,24.0,0,Diameter change,0.5943913350715452,0.5931358031627173,0.5870102010408024,0.0012555319088278782,0.00612560212191493
0.25,1200.0,72.0,200.0,20.0,1,30.0,0,Diameter change,0.6491858556194904,0.6479303237106626,0.6393304508634927,0.0012555319088277672,0.008599872847169898
0.25,1600.0,0.0,200.0,20.0,5,20.0,5,Transport assets retained,0.61948750671843,0.61948750671843,0.61948750671843,0.0,0.0
0.25,1600.0,6.0,200.0,20.0,5,20.0,7,Station-count change,0.6331861368554162,0.6312438351383562,0.6305076895531141,0.001942301717060002,0.0007361455852421539
0.25,1600.0,12.0,200.0,20.0,5,20.0,7,Station-count change,0.6468847669924027,0.6449424652753425,0.6442063196901003,0.0019423017170602241,0.0007361455852421539
0.25,1600.0,24.0,200.0,20.0,5,20.0,7,Station-count change,0.6742820272663753,0.6723397255493151,0.6716035799640729,0.0019423017170602241,0.0007361455852421539
0.25,1600.0,36.0,200.0,20.0,5,20.0,7,Station-count change,0.7016792875403478,0.6997369858232877,0.6990008402380455,0.0019423017170601131,0.0007361455852421539
0.25,1600.0,48.0,200.0,20.0,5,20.0,7,Station-count change,0.7290765478143204,0.7271342460972604,0.7263981005120183,0.001942301717060002,0.0007361455852421539
0.25,1600.0,72.0,200.0,20.0,5,30.0,0,Diameter change,0.7838710683622656,0.7819287666452055,0.7747636644165201,0.0019423017170601131,0.007165102228685383
0.25,2000.0,0.0,200.0,20.0,10,20.0,10,Transport assets retained,0.749478009950483,0.749478009950483,0.749478009950483,0.0,0.0
0.25,2000.0,6.0,200.0,20.0,10,20.0,13,Station-count change,0.7631766400874692,0.7606739946485737,0.7595361765277524,0.0025026454388955566,0.0011378181208212546
0.25,2000.0,12.0,200.0,20.0,10,20.0,13,Station-count change,0.7768752702244556,0.77437262478556,0.7732280327081433,0.0025026454388955566,0.001144592077416684
0.25,2000.0,24.0,200.0,20.0,10,20.0,13,Station-count change,0.8042725304984281,0.8017698850595326,0.8006252929821159,0.0025026454388954456,0.001144592077416684
0.25,2000.0,36.0,200.0,20.0,10,20.0,13,Station-count change,0.8316697907724008,0.8291671453335051,0.8280225532560885,0.0025026454388956676,0.001144592077416573
0.25,2000.0,48.0,200.0,20.0,10,20.0,13,Station-count change,0.8590670510463734,0.8565644056074778,0.8554198135300611,0.0025026454388955566,0.001144592077416684
0.25,2000.0,72.0,200.0,20.0,10,20.0,13,Station-count change,0.9138615715943186,0.911358926155423,0.9102143340780063,0.0025026454388955566,0.001144592077416684
0.25,400.0,0.0,600.0,20.0,0,20.0,0,Transport assets retained,0.20777879949295813,0.20777879949295813,0.20777879949295813,0.0,0.0
0.25,400.0,6.0,600.0,20.0,0,20.0,0,Transport assets retained,0.248874689903917,0.21305596814354316,0.21305596814354316,0.035818721760373845,0.0
0.25,400.0,12.0,600.0,20.0,0,24.0,0,Diameter change,0.28997058031487594,0.25415185855450206,0.23376045293492037,0.03581872176037387,0.020391405619581693
0.25,400.0,24.0,600.0,20.0,0,30.0,0,Diameter change,0.37216236113679374,0.33634363937641987,0.27096959573907975,0.03581872176037387,0.06537404363734012
0.25,400.0,36.0,600.0,20.0,0,36.0,0,Diameter change,0.45435414195871154,0.41853542019833767,0.32560905151887365,0.03581872176037387,0.09292636867946402
