strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,design_rank,gap_to_best_2023_usd_per_kg
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,16,70.58823529411765,21.01325,22.81636126118495,48.79906026251004,3076415.6212890786,3076415.6212890786,1033173.4198068115,2,19817.671124984532,1,1250.0587298738901,52588209.04282251,606627879.3634591,1645517409.009655,76081442.21019179,619904051.8840868,0.34555865589202756,0.021454966703274087,0.12701098248380854,0.12398081037681738,0.6180054154559275,309002707.72796375,0.0,Diameter change,True,38,0.14457183235555437
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,17,66.66666666666667,21.01325,22.719942874509837,48.8645183280784,3080542.262547549,3080542.262547549,1029046.7785483412,2,19817.671124984532,1,1185.3929916256034,53147270.3375819,608924388.465651,1645517409.009655,76890258.29964173,617428067.1290047,0.34555865589202756,0.02168305284049897,0.12749180752874134,0.12348561342580094,0.6182191296870688,309109564.8435344,0.0,Diameter change,True,39,0.14478554658669573
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,18,63.1578947368421,21.01325,22.633325629001984,48.92320483225601,3084242.0075270557,3084242.0075270557,1025347.0335688344,2,19817.671124984532,1,1127.1316281254678,53674234.54334518,611006807.2655449,1645517409.009655,77652638.2608032,615208220.1413007,0.34555865589202756,0.021898043989546503,0.1279278080270943,0.12304164402826014,0.6184261519369285,309213075.96846426,0.0,Diameter change,True,40,0.14499256883655542
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,19,60.0,21.01325,22.5550857093282,48.97611946605933,3087577.8792662164,3087577.8792662164,1022011.1618296737,2,19817.671124984532,1,1074.3663965878688,54172691.56215797,612904942.7877381,1645517409.009655,78373775.74696837,613206697.0978042,0.34555865589202756,0.022101404760645083,0.12832522473964986,0.12264133941956085,0.6186266248118834,309313312.40594167,0.0,Diameter change,True,41,0.14519304171151026
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,20,57.142857142857146,21.01325,22.484062612337024,49.02407427104937,3090601.0709095313,3090601.0709095313,1018987.9701863588,2,19817.671124984532,1,1026.3532647736788,54645669.57249682,614643288.7708054,1645517409.009655,79058051.7437224,611392782.1118152,0.34555865589202756,0.022294370591729718,0.12868918597307985,0.12227855642236304,0.6188207688792002,309410384.4396001,0.0,Diameter change,True,42,0.14538718577882714
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,21,54.54545454545455,21.01325,22.41930091585842,49.06773571419902,3093353.598212947,3093353.598212947,1016235.442882943,2,19817.671124984532,1,982.4768614934908,55095744.86302148,616242160.8612297,1645517409.009655,79709193.46977745,609741265.7297658,0.34555865589202756,0.022477992558477242,0.129023945257938,0.12194825314595316,0.6190088468543959,309504423.427198,0.0,Diameter change,True,43,0.14557526375402285
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,22,52.17391304347826,21.01325,22.36000685792685,49.10765592336678,3095870.2687067674,3095870.2687067674,1013718.7723891228,2,19817.671124984532,1,942.2237887765339,55525126.33976023,617718552.3963099,1645517409.009655,80330396.63686047,608231263.4334737,0.34555865589202756,0.022653171851594656,0.12933306052576596,0.12164625268669474,0.6191911409560829,309595570.4780414,0.0,Diameter change,True,44,0.14575755785570976
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,23,50.0,21.01325,22.305515507523417,49.144296208274014,3098180.1645172755,3098180.1645172755,1011408.8765786146,2,19817.671124984532,1,905.1623188383585,55935721.35434467,619086787.9207252,1645517409.009655,80924420.68602446,606845325.9471687,0.34555865589202756,0.022820686633458896,0.12961953093726036,0.12136906518943376,0.6193679386521806,309683969.32609034,0.0,Diameter change,True,45,0.14593435555180756
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,2,400.0,21.01325,29.82266667341205,43.69320447514856,2754529.6173416707,2754529.6173416707,1355059.4237542194,2,19817.671124984532,1,5499.175585213553,33694463.17459086,469475400.5353147,1645517409.009655,48747112.698468134,813035654.2525316,0.34555865589202756,0.013746685780968016,0.09829507331008047,0.16260713085050635,0.6202075458335824,310103772.9167912,0.0,Diameter change,True,46,0.1467739627332093
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,1,600.0,21.01325,33.36628288390711,40.86404491480117,2576172.2756274766,2576172.2756274766,1533416.7654684135,2,19817.671124984532,1,7377.0077587548085,28667041.733120184,414305020.907055,1645517409.009655,41473743.23357408,920050059.281048,0.34555865589202756,0.01169559559186789,0.08674393238997845,0.18401001185620963,0.6280081957300835,314004097.86504173,0.0,Diameter change,True,47,0.1545746126297104
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,36.0,0,1200.0,21.01325,42.24998214692316,33.07838188547123,2085344.4761437108,2085344.4761437108,2024244.5649521793,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1645517409.009655,28729098.81012402,1214546738.9713075,0.34555865589202756,0.008101605864454974,0.063213201801047,0.24290934779426152,0.6597828113517912,329891405.6758956,0.0,Diameter change,True,48,0.1863492282514181
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,4,240.0,26.440484832395448,37.09335640025964,36.43762339783551,1595221.8879935143,1595221.8879935143,2514367.1531023756,2,19817.671124984532,1,5328.708864706312,46823570.20979313,626644795.9550847,1276277666.450836,67741511.18343604,1508620291.8614254,0.26801830995467557,0.019103106153728965,0.1312019673183113,0.30172405837228505,0.7200474417990009,360023720.8995005,0.0,Station-count change,True,49,0.24661385869862784
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,5,200.0,27.50008503265512,36.335513654326114,36.80778560649206,1611427.4141034316,1611427.4141034316,2498161.6269924585,2,19817.671124984532,1,4352.0005728354745,48394114.8770284,633426824.6001015,1276277666.450836,70013680.27825129,1498896976.195475,0.26801830995467557,0.019743857838466865,0.13262193522737076,0.299779395239095,0.7201634982596082,360081749.12980413,0.0,Station-count change,True,50,0.24672991515923515
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,3,300.0,25.008201864755552,38.35925539017994,35.70197588274965,1563015.5883372445,1563015.5883372445,2546573.4527586456,2,19817.671124984532,1,6811.683594598997,44608035.52793458,613241467.6885672,1276277666.450836,64536209.521133035,1527944071.6551874,0.26801830995467557,0.01819921108495952,0.1283956836811832,0.30558881433103746,0.7202020190518558,360101009.5259279,0.0,Station-count change,True,51,0.24676843595148268
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,6,171.42857142857142,28.16766809151163,35.73316173751867,37.13261022853204,1625648.0821524947,1625648.0821524947,2483940.9589433954,2,19817.671124984532,1,3697.0929370560207,49802682.54719111,639864354.48092,1276277666.450836,72051510.84421264,1490364575.3660371,0.26801830995467557,0.020318526058067967,0.1339697746899909,0.29807291507320743,0.7203795257759419,360189762.8879709,0.0,Station-count change,True,52,0.2469459426755688
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,7,150.0,28.824343001079534,35.409799579131,37.22871306476623,1629855.4187887295,1629855.4187887295,2479733.622307161,2,19817.671124984532,1,3185.1568948781483,50762842.69004777,641594121.476161,1276277666.450836,73440612.50313762,1487840173.3842964,0.26801830995467557,0.02071025272588481,0.1343319397223072,0.2975680346768593,0.720628537079727,360314268.53986347,0.0,Station-count change,True,53,0.24719495397935387
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,8,133.33333333333334,29.277069262900202,35.11633098391156,37.348448321468375,1635097.371595869,1635097.371595869,2474491.6695000213,2,19817.671124984532,1,2806.982171202451,51690486.58047198,644028016.7177953,1276277666.450836,74782671.61345029,1484695001.7000127,0.26801830995467557,0.021088713394992985,0.13484152959843854,0.29693900034000253,0.7208875532881096,360443776.64405483,0.0,Station-count change,True,54,0.24745397018773652
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,30.0,9,120.0,29.722447048122092,34.9547247730646,37.36390991654328,1635774.2729024522,1635774.2729024522,2473814.7681934377,2,19817.671124984532,1,2497.0600943654845,52384053.397294015,644297420.6863292,1276277666.450836,75786082.16219105,1484288860.9160626,0.26801830995467557,0.02137167516973788,0.13489793528616334,0.2968577721832125,0.7211456925937894,360572846.29689467,0.0,Station-count change,True,55,0.24771210949341627
